Sexo,Edad,Grupo etario,Municipio,Región,Colonia/Localidad,Migrante,Fecha de desaparición,Día de la semana,Horario,Estatus,Fecha de localización,Días sin localizar,Rango desaparición,Reincidencia,Número de reincidencia,Desaparición múltiple,Persona con quién desapareció,Hipótesis,Fuente,Sistematizó,,
Mujer,13,12 a 17,"Jitotol, Chiapas ",De los bosques,No especificado,No,19/5/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,14,12 a 17,"Las Margaritas, Chiapas ",Meseta Comiteca,No especificado,No,21/5/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,17,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,No especificado,No,31/5/2019,Viernes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"Mapastepec, Chiapas ",Istmo-Costa,No especificado,No,31/5/2019,Viernes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Amatenango del Valle, Chiapas ",Altos,No especificado,No,1/6/2019,Sábado,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Comitán de Domínguez, Chiapas ",Meseta Comiteca,No especificado,No,3/6/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,12,12 a 17,"Comitán de Domínguez, Chiapas ",Meseta Comiteca,No especificado,No,4/6/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,5/6/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,6/6/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
Hombre,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,10/6/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,Fiscalia General de Justicia de Chiapas ,José Encinos Melel Xojobal,,
